Amphi-A;1
Amphi-B;0
Amphi-D;0
Amphi-E;0
Amphi-L001;0
Amphi-L002;0
Amphi-L003;0
Amphi-L004;0
Amphi-L005;0
Amphi-L006;0
A018;0
A020;0
A115;0
A116;153
A117;45
A118;47
A119;47
A120;26
B002;0
B003;0
B005;0
B006;0
B'107;0
B'108;0
C002;0
C004;80
D003;0
D005;0
Da001;0
Da003;0
Da004;0
Da005;0
Da101;0
Da102;0
Da107;0
Da106;0
Da201;0
Da207;0
E001;0
E002;0
F001;0
F002;0
F003;0
F004;0
F101;0
F102;0
G001;0
G002;0
G003;0
G101;50
G102;50
G103;44
G104;44
G105;40
G204;0
G205;0
H001;51
H002;50
H003;47
H004;0
H005;54
H006;116
H007-H008;109
H113;35
H217;39
I001;60
I002;60
I003;60
I004;60
I005;60
I006;60
I008;60
I109;0
J004;0
J005;0
J104;0
J105;16
LS01;19
L101;37
L102;49
L103;49
L104;39
L105;39
L106;34
L107;34
L108;0
L201;26
L202;24
L203;39
L204;39
L205;26
L206;24
L207;19
L208;22
L209;19
L210;19
L211;0
L212;0
L218;0
L219;0
L220;0
L221;0
L222;0
L229;31
L230;31
L231;31
L232;31
AMPHI-A;25
AMPHI-B;24
Amphi-A-EVAL;3
Amphi-B-EVAL;4
Amphi-D-EVAL;0
Amphi-E-EVAL;0
Amphi-L001-EVAL;0
Amphi-L002-EVAL;0
Amphi-L003-EVAL;1
Amphi-L004-EVAL;0
Amphi-L005-EVAL;0
Amphi-L006-EVAL;0
Virtual-Anglais1-1;0
Virtual-Anglais1-2;0
Virtual-Anglais1-3;0
Virtual-Anglais1-4;0
Virtual-Anglais1-5;0
Virtual-Anglais1-6;0
Virtual-Anglais1-7;0
Virtual-Anglais1-8;0
Virtual-Anglais1-9;0
Virtual-Anglais1-10;0
Virtual-Anglais2-1;0
Virtual-Anglais2-2;0
Virtual-Anglais2-3;0
Virtual-Anglais2-4;0
Virtual-Anglais2-5;0
Virtual-Anglais2-6;0
Virtual-Anglais2-7;0
Virtual-Anglais2-8;0
Virtual-Anglais2-9;0
Virtual-Anglais2-10;0
