24;5;120
w;1;366
d;1;123
d;2;69
d;3;63
d;4;70
d;5;41
w;2;375
d;6;117
d;7;85
d;8;70
d;9;66
d;10;37
w;3;393
d;11;131
d;12;85
d;13;69
d;14;67
d;15;41
w;4;381
d;16;126
d;17;79
d;18;68
d;19;67
d;20;41
w;5;411
d;21;144
d;22;87
d;23;68
d;24;67
d;25;45
w;6;143
d;26;36
d;27;25
d;28;20
d;29;26
d;30;36
w;7;53
d;31;12
d;32;11
d;33;11
d;34;9
d;35;10
w;8;48
d;36;9
d;37;12
d;38;9
d;39;9
d;40;9
w;9;52
d;41;13
d;42;11
d;43;9
d;44;11
d;45;8
w;10;52
d;46;13
d;47;10
d;48;11
d;49;11
d;50;7
w;11;49
d;51;12
d;52;11
d;53;11
d;54;9
d;55;6
w;12;44
d;56;12
d;57;10
d;58;8
d;59;8
d;60;6
w;13;18
d;61;5
d;62;3
d;63;4
d;64;4
d;65;2
w;14;13
d;66;5
d;67;3
d;68;1
d;69;3
d;70;1
w;15;3
d;71;1
d;72;1
d;73;0
d;74;1
d;75;0
w;16;2
d;76;1
d;77;1
d;78;0
d;79;0
d;80;0
w;17;1
d;81;1
d;82;0
d;83;0
d;84;0
d;85;0
w;18;12
d;86;5
d;87;2
d;88;3
d;89;2
d;90;0
w;19;19
d;91;6
d;92;3
d;93;4
d;94;3
d;95;3
w;20;12
d;96;6
d;97;3
d;98;3
d;99;0
d;100;0
w;21;10
d;101;4
d;102;3
d;103;3
d;104;0
d;105;0
w;22;7
d;106;4
d;107;2
d;108;1
d;109;0
d;110;0
w;23;6
d;111;3
d;112;2
d;113;1
d;114;0
d;115;0
w;24;3
d;116;2
d;117;0
d;118;0
d;119;0
d;120;1
