24;5;120
w;1;374
d;1;130
d;2;65
d;3;67
d;4;75
d;5;37
w;2;371
d;6;124
d;7;85
d;8;69
d;9;58
d;10;35
w;3;395
d;11;137
d;12;86
d;13;68
d;14;63
d;15;41
w;4;384
d;16;133
d;17;79
d;18;68
d;19;62
d;20;42
w;5;418
d;21;151
d;22;86
d;23;69
d;24;73
d;25;39
w;6;138
d;26;59
d;27;23
d;28;30
d;29;15
d;30;11
w;7;54
d;31;10
d;32;12
d;33;14
d;34;8
d;35;10
w;8;46
d;36;10
d;37;10
d;38;11
d;39;7
d;40;8
w;9;54
d;41;14
d;42;10
d;43;12
d;44;9
d;45;9
w;10;50
d;46;13
d;47;10
d;48;10
d;49;8
d;50;9
w;11;48
d;51;11
d;52;11
d;53;10
d;54;9
d;55;7
w;12;42
d;56;10
d;57;7
d;58;10
d;59;9
d;60;6
w;13;17
d;61;4
d;62;3
d;63;4
d;64;3
d;65;3
w;14;15
d;66;4
d;67;3
d;68;3
d;69;3
d;70;2
w;15;4
d;71;0
d;72;1
d;73;2
d;74;0
d;75;1
w;16;2
d;76;0
d;77;1
d;78;0
d;79;0
d;80;1
w;17;1
d;81;0
d;82;0
d;83;0
d;84;0
d;85;1
w;18;11
d;86;4
d;87;2
d;88;3
d;89;2
d;90;0
w;19;12
d;91;6
d;92;3
d;93;3
d;94;0
d;95;0
w;20;12
d;96;6
d;97;3
d;98;3
d;99;0
d;100;0
w;21;10
d;101;4
d;102;3
d;103;3
d;104;0
d;105;0
w;22;7
d;106;4
d;107;2
d;108;1
d;109;0
d;110;0
w;23;6
d;111;3
d;112;2
d;113;1
d;114;0
d;115;0
w;24;2
d;116;2
d;117;0
d;118;0
d;119;0
d;120;0
