24;5;120
w;1;365
d;1;119
d;2;73
d;3;66
d;4;64
d;5;43
w;2;373
d;6;113
d;7;89
d;8;72
d;9;62
d;10;37
w;3;394
d;11;127
d;12;89
d;13;72
d;14;65
d;15;41
w;4;381
d;16;119
d;17;85
d;18;71
d;19;64
d;20;42
w;5;412
d;21;135
d;22;95
d;23;72
d;24;64
d;25;46
w;6;143
d;26;33
d;27;25
d;28;22
d;29;25
d;30;38
w;7;50
d;31;9
d;32;9
d;33;13
d;34;9
d;35;10
w;8;52
d;36;9
d;37;11
d;38;12
d;39;9
d;40;11
w;9;55
d;41;10
d;42;12
d;43;12
d;44;10
d;45;11
w;10;53
d;46;11
d;47;13
d;48;11
d;49;9
d;50;9
w;11;49
d;51;8
d;52;15
d;53;11
d;54;8
d;55;7
w;12;45
d;56;8
d;57;12
d;58;8
d;59;9
d;60;8
w;13;12
d;61;1
d;62;5
d;63;3
d;64;2
d;65;1
w;14;11
d;66;2
d;67;5
d;68;2
d;69;1
d;70;1
w;15;1
d;71;0
d;72;0
d;73;0
d;74;1
d;75;0
w;16;1
d;76;0
d;77;0
d;78;0
d;79;1
d;80;0
w;17;1
d;81;0
d;82;0
d;83;0
d;84;1
d;85;0
w;18;11
d;86;2
d;87;4
d;88;3
d;89;1
d;90;1
w;19;20
d;91;4
d;92;5
d;93;4
d;94;3
d;95;4
w;20;14
d;96;4
d;97;5
d;98;3
d;99;1
d;100;1
w;21;12
d;101;4
d;102;3
d;103;3
d;104;1
d;105;1
w;22;8
d;106;4
d;107;2
d;108;2
d;109;0
d;110;0
w;23;7
d;111;3
d;112;2
d;113;2
d;114;0
d;115;0
w;24;3
d;116;2
d;117;0
d;118;0
d;119;0
d;120;1
