vide;266h30;15990
Amphi-A;0h0;0
Amphi-B;0h0;0
Amphi-D;4h0;240
Amphi-E;0h0;0
Amphi-L001;0h0;0
Amphi-L002;0h0;0
Amphi-L003;0h0;0
Amphi-L004;0h0;0
Amphi-L005;0h0;0
Amphi-L006;0h0;0
A018;0h0;0
A020;0h0;0
A115;0h0;0
A116;104h0;6240
A117;12h0;720
A118;58h40;3520
A119;52h0;3120
A120;65h20;3920
B002;0h0;0
B003;0h0;0
B005;0h0;0
B006;0h0;0
B'107;0h0;0
B'108;0h0;0
C002;0h0;0
C004;106h40;6400
D003;0h0;0
D005;0h0;0
Da001;0h0;0
Da003;0h0;0
Da004;0h0;0
Da005;0h0;0
Da101;0h0;0
Da102;0h0;0
Da107;0h0;0
Da106;0h0;0
Da201;0h0;0
Da207;0h0;0
E001;0h0;0
E002;0h0;0
F001;0h0;0
F002;0h0;0
F003;0h0;0
F004;0h0;0
F101;0h0;0
F102;0h0;0
G001;0h0;0
G002;0h0;0
G003;0h0;0
G101;63h0;3780
G102;47h0;2820
G103;11h0;660
G104;39h0;2340
G105;31h0;1860
G204;0h0;0
G205;0h0;0
H001;70h40;4240
H002;140h20;8420
H003;232h20;13940
H004;0h0;0
H005;159h0;9540
H006;341h30;20490
H007-H008;319h20;19160
H113;99h0;5940
H217;59h0;3540
I001;0h0;0
I002;40h0;2400
I003;20h0;1200
I004;0h0;0
I005;0h0;0
I006;40h0;2400
I008;0h0;0
I109;0h0;0
J004;0h0;0
J005;0h0;0
J104;0h0;0
J105;21h20;1280
LS01;11h30;690
L101;88h0;5280
L102;102h40;6160
L103;156h0;9360
L104;48h0;2880
L105;13h20;800
L106;60h0;3600
L107;98h40;5920
L108;0h0;0
L201;98h40;5920
L202;112h0;6720
L203;94h40;5680
L204;33h20;2000
L205;101h20;6080
L206;92h0;5520
L207;118h40;7120
L208;10h40;640
L209;74h40;4480
L210;70h40;4240
L211;0h0;0
L212;0h0;0
L218;0h0;0
L219;0h0;0
L220;0h0;0
L221;0h0;0
L222;0h0;0
L229;58h40;3520
L230;114h40;6880
L231;60h0;3600
L232;36h0;2160
AMPHI-A;23h20;1400
AMPHI-B;48h0;2880
Amphi-A-EVAL;5h30;330
Amphi-B-EVAL;6h15;375
Amphi-D-EVAL;6h30;390
Amphi-E-EVAL;10h30;630
Amphi-L001-EVAL;3h45;225
Amphi-L002-EVAL;4h45;285
Amphi-L003-EVAL;6h0;360
Amphi-L004-EVAL;7h0;420
Amphi-L005-EVAL;5h0;300
Amphi-L006-EVAL;7h0;420
Virtual-Anglais1-1;8h0;480
Virtual-Anglais1-2;8h0;480
Virtual-Anglais1-3;0h0;0
Virtual-Anglais1-4;0h0;0
Virtual-Anglais1-5;8h0;480
Virtual-Anglais1-6;8h0;480
Virtual-Anglais1-7;8h0;480
Virtual-Anglais1-8;8h0;480
Virtual-Anglais1-9;16h0;960
Virtual-Anglais1-10;0h0;0
Virtual-Anglais2-1;8h0;480
Virtual-Anglais2-2;8h0;480
Virtual-Anglais2-3;0h0;0
Virtual-Anglais2-4;0h0;0
Virtual-Anglais2-5;8h0;480
Virtual-Anglais2-6;0h0;0
Virtual-Anglais2-7;8h0;480
Virtual-Anglais2-8;16h0;960
Virtual-Anglais2-9;8h0;480
Virtual-Anglais2-10;8h0;480
